cluster_a,cluster_b,new_cluster,edge_u,edge_v,distance,size
166,198,466,166,198,0.0746726,2
169,219,467,169,219,0.0761577,2
82,405,468,82,111,0.0770779,3
173,196,469,173,196,0.0771622,2
26,92,470,26,92,0.0774145,2
441,352,471,306,352,0.0785493,3
308,446,472,308,356,0.0790569,5
297,461,473,297,345,0.0801561,5
351,447,474,351,384,0.0802808,3
152,186,475,152,186,0.0805047,2
404,398,476,383,398,0.0809938,3
327,428,477,327,350,0.0829277,4
212,281,478,212,281,0.0832166,2
162,202,479,162,202,0.0844334,2
52,71,480,52,71,0.0853815,2
256,283,481,256,283,0.0857963,2
305,464,482,305,330,0.0858429,6
103,114,483,103,114,0.086209,2
445,471,484,337,352,0.0872067,5
400,217,485,142,217,0.0882326,3
128,443,486,128,201,0.0906973,3
449,412,487,349,362,0.0907965,8
425,365,488,313,365,0.0912414,5
180,194,489,180,194,0.0917061,2
178,485,490,178,269,0.0919239,4
131,176,491,131,176,0.0920217,2
473,396,492,393,396,0.0943663,6
426,372,493,325,372,0.0947629,3
315,382,494,315,382,0.0948472,2
299,389,495,299,389,0.0950368,2
102,113,496,102,113,0.0954411,2
127,240,497,127,240,0.0970824,2
354,434,498,354,373,0.0976729,4
45,115,499,45,115,0.0980867,2
230,455,500,230,280,0.0991564,3
495,476,501,389,398,0.0998098,5
270,275,502,270,275,0.09993,2
155,255,503,155,255,0.102786,2
35,95,504,35,95,0.10316,2
363,501,505,363,383,0.103233,6
386,435,506,386,391,0.103325,4
494,451,507,382,394,0.104,4
247,260,508,247,260,0.104389,2
492,357,509,301,357,0.104809,7
328,374,510,328,374,0.105224,2
453,355,511,347,355,0.105304,3
493,477,512,325,392,0.106452,7
474,369,513,318,369,0.106944,4
511,335,514,302,335,0.107187,4
512,506,515,327,346,0.108467,11
87,112,516,87,112,0.108904,2
444,69,517,66,69,0.108931,3
14,18,518,14,18,0.109041,2
459,490,519,175,217,0.109202,6
503,188,520,155,188,0.109252,3
222,232,521,222,232,0.110023,2
376,437,522,376,385,0.110059,3
37,65,523,37,65,0.110309,2
36,83,524,36,83,0.111158,2
338,381,525,338,381,0.114004,2
430,457,526,28,77,0.11414,4
524,98,527,36,98,0.114158,3
9,480,528,9,52,0.115434,3
4,439,529,4,89,0.115948,3
282,287,530,282,287,0.118966,2
316,514,531,316,347,0.119206,5
303,482,532,303,332,0.119218,7
13,118,533,13,118,0.119503,2
58,94,534,58,94,0.119854,2
223,265,535,223,265,0.120801,2
528,81,536,71,81,0.121037,4
0,119,537,0,119,0.121037,2
1,88,538,1,88,0.122102,2
129,258,539,129,258,0.122102,2
475,436,540,152,271,0.123037,4
10,107,541,10,107,0.12516,2
422,484,542,324,337,0.125925,7
55,80,543,55,80,0.126696,2
472,510,544,356,374,0.128062,7
122,520,545,122,188,0.128082,4
135,215,546,135,215,0.128798,2
251,278,547,251,278,0.128888,2
40,61,548,40,61,0.129468,2
300,498,549,300,380,0.130096,5
537,44,550,0,44,0.131947,3
319,505,551,319,363,0.132484,7
70,541,552,70,107,0.13336,3
460,229,553,144,229,0.134826,3
143,253,554,143,253,0.136854,2
140,174,555,140,174,0.137317,2
448,348,556,294,348,0.137441,3
8,533,557,8,118,0.139786,3
321,421,558,321,395,0.140602,3
532,368,559,303,368,0.140698,8
559,323,560,305,323,0.142555,9
507,388,561,382,388,0.142636,5
146,486,562,146,201,0.142843,4
50,62,563,50,62,0.143056,2
343,513,564,343,369,0.1436,5
147,467,565,147,219,0.143951,3
134,181,566,134,181,0.14442,2
554,248,567,143,248,0.145066,3
557,24,568,8,24,0.145962,4
33,93,569,33,93,0.146455,2
516,106,570,87,106,0.146485,3
336,364,571,336,364,0.146769,2
125,191,572,125,191,0.147513,2
568,90,573,8,90,0.147763,5
132,545,574,132,255,0.147763,5
29,536,575,29,81,0.149402,5
491,226,576,131,226,0.151238,3
555,246,577,140,246,0.154467,3
370,522,578,370,379,0.157385,4
549,560,579,309,368,0.157892,14
571,578,580,364,376,0.158937,6
182,249,581,182,249,0.15911,2
209,454,582,209,288,0.160562,3
406,579,583,291,323,0.161555,16
311,353,584,311,353,0.161892,2
47,110,585,47,110,0.162262,2
479,547,586,162,251,0.162484,4
523,585,587,37,110,0.162754,4
5,104,588,5,104,0.163086,2
49,463,589,49,72,0.163918,3
158,572,590,158,191,0.164575,3
123,151,591,123,151,0.165245,2
167,189,592,167,189,0.16556,2
420,109,593,42,109,0.165641,3
25,587,594,25,47,0.165946,5
544,580,595,328,385,0.166643,13
551,314,596,299,314,0.166736,8
575,48,597,29,48,0.169198,6
539,272,598,129,272,0.170026,3
344,487,599,344,387,0.170696,9
6,534,600,6,94,0.171292,3
411,254,601,203,254,0.171977,3
199,274,602,199,274,0.173003,2
214,567,603,214,248,0.173303,4
525,564,604,338,343,0.175756,7
138,244,605,138,244,0.176465,2
469,243,606,173,243,0.177902,3
156,606,607,156,196,0.17978,4
73,527,608,73,98,0.180613,4
19,64,609,19,64,0.182025,2
170,206,610,170,206,0.183439,2
604,462,611,338,375,0.184981,9
558,488,612,307,365,0.185,8
595,515,613,336,386,0.185003,24
526,483,614,74,103,0.185267,6
593,59,615,15,59,0.187096,4
589,529,616,49,116,0.187211,6
53,96,617,53,96,0.18783,2
213,535,618,213,265,0.188279,3
596,613,619,314,334,0.188958,32
588,496,620,104,113,0.190518,4
615,552,621,42,70,0.190539,7
193,245,622,193,245,0.190709,2
57,76,623,57,76,0.19101,2
543,68,624,55,68,0.1922,3
594,614,625,25,28,0.194031,11
599,509,626,344,357,0.194371,16
609,563,627,19,62,0.195133,4
517,419,628,66,91,0.195318,5
12,597,629,12,52,0.19642,7
608,627,630,36,62,0.19703,8
79,617,631,79,96,0.197327,3
612,440,632,390,397,0.197365,11
600,78,633,6,78,0.198658,4
548,628,634,40,69,0.199201,7
442,75,635,46,75,0.199625,3
149,221,636,149,221,0.202277,2
145,590,637,145,158,0.203217,4
561,531,638,315,316,0.205626,10
624,630,639,80,98,0.207894,11
565,268,640,169,268,0.210262,4
577,602,641,140,199,0.211073,5
553,168,642,161,168,0.211237,4
153,263,643,153,263,0.211426,2
23,633,644,23,78,0.2122,5
276,286,645,276,286,0.213122,2
124,233,646,124,233,0.214394,2
164,519,647,164,178,0.215002,7
508,252,648,247,252,0.216363,3
163,576,649,163,176,0.218112,4
638,556,650,335,348,0.219495,13
292,619,651,292,363,0.220592,33
626,542,652,331,340,0.222913,23
22,499,653,22,45,0.22309,3
121,279,654,121,279,0.22486,2
187,640,655,187,268,0.225887,5
647,165,656,164,165,0.226,8
644,639,657,6,68,0.226177,16
629,635,658,12,75,0.226279,10
139,210,659,139,210,0.227976,2
621,657,660,10,58,0.229752,23
518,413,661,14,43,0.230601,4
583,651,662,300,372,0.231836,49
584,611,663,311,384,0.232551,11
661,573,664,14,90,0.233773,9
660,67,665,19,67,0.235204,24
208,656,666,208,217,0.238372,9
550,623,667,0,76,0.239201,5
150,598,668,150,258,0.239719,4
538,3,669,1,3,0.243298,3
562,204,670,146,204,0.244166,5
207,284,671,207,284,0.246982,2
179,185,672,179,185,0.24905,2
326,650,673,326,360,0.250266,14
616,17,674,4,17,0.251191,7
591,197,675,151,197,0.251223,3
190,666,676,190,192,0.253744,10
653,30,677,22,30,0.254018,4
574,645,678,188,286,0.254189,7
622,225,679,193,225,0.254568,3
631,117,680,53,117,0.255494,4
27,39,681,27,39,0.256704,2
154,502,682,154,270,0.258118,3
540,478,683,186,212,0.259048,6
581,250,684,249,250,0.259268,3
641,236,685,199,236,0.259725,6
683,289,686,281,289,0.260192,7
450,211,687,205,211,0.260923,3
56,665,688,56,94,0.261767,25
658,688,689,48,73,0.265633,35
652,663,690,324,353,0.267262,34
126,267,691,126,267,0.267739,2
679,259,692,225,259,0.268604,4
497,682,693,127,275,0.268613,5
51,669,694,51,88,0.269245,4
530,678,695,282,286,0.269418,9
100,101,696,100,101,0.270296,2
416,603,697,195,253,0.274117,6
680,504,698,79,95,0.276279,6
84,97,699,84,97,0.277635,2
689,458,700,80,85,0.278426,37
685,676,701,174,208,0.278987,16
634,698,702,61,117,0.28516,13
569,677,703,33,115,0.285895,6
643,177,704,153,177,0.287089,3
673,690,705,326,339,0.28768,48
625,667,706,37,57,0.288016,16
620,664,707,5,24,0.28914,13
32,700,708,32,38,0.290998,38
674,570,709,49,106,0.292617,10
655,692,710,147,225,0.295481,9
432,481,711,159,283,0.295677,4
566,234,712,134,234,0.295787,3
672,686,713,179,186,0.298391,9
500,693,714,200,240,0.299868,8
708,696,715,50,100,0.30511,40
20,707,716,20,31,0.306804,14
468,694,717,82,88,0.308,7
711,695,718,256,276,0.30865,13
21,681,719,21,27,0.309803,3
7,699,720,7,97,0.310015,3
220,277,721,220,277,0.310942,2
489,183,722,180,183,0.312604,3
216,691,723,216,267,0.31453,3
717,706,724,2,119,0.319791,23
718,668,725,122,150,0.321629,17
470,702,726,26,53,0.32184,15
719,86,727,21,86,0.322622,4
649,586,728,176,202,0.323619,8
662,632,729,292,321,0.326671,60
729,705,730,312,359,0.328,108
725,546,731,172,215,0.328325,19
228,670,732,228,242,0.331693,6
714,636,733,127,149,0.333024,10
724,715,734,3,109,0.337457,63
646,285,735,233,285,0.339171,3
431,730,736,361,377,0.346621,110
261,273,737,261,273,0.346883,2
408,716,738,16,118,0.348633,16
712,148,739,134,148,0.350892,4
701,735,740,190,285,0.351518,19
642,739,741,168,234,0.353375,8
738,709,742,20,112,0.353751,26
120,713,743,120,185,0.356389,10
728,743,744,162,239,0.356535,18
742,720,745,4,7,0.358022,29
654,740,746,121,274,0.358638,21
637,184,747,125,184,0.359555,5
744,521,748,226,232,0.361388,20
741,648,749,168,252,0.362829,11
745,105,750,17,105,0.364984,30
731,722,751,135,183,0.374989,22
136,618,752,136,223,0.379096,4
746,218,753,165,218,0.379592,22
748,749,754,120,148,0.38097,31
747,704,755,158,263,0.383043,8
703,750,756,22,105,0.383951,36
727,734,757,39,114,0.385389,67
751,737,758,183,273,0.389772,24
732,753,759,128,236,0.392326,28
141,755,760,141,184,0.394495,9
759,607,761,218,243,0.39599,32
710,721,762,245,277,0.397213,11
659,407,763,210,231,0.399516,4
60,757,764,60,74,0.399516,68
697,763,765,253,266,0.403585,10
761,687,766,233,262,0.405094,35
237,264,767,237,264,0.405941,2
760,766,768,145,211,0.406596,44
768,675,769,184,197,0.409224,47
758,160,770,122,160,0.41003,25
610,765,771,206,210,0.410601,12
770,769,772,180,243,0.411874,72
723,605,773,216,244,0.416918,5
465,773,774,157,216,0.42506,7
754,466,775,120,198,0.428712,33
224,772,776,224,285,0.437146,73
756,764,777,5,32,0.445759,104
227,775,778,227,260,0.451116,34
774,776,779,267,279,0.451164,80
592,762,780,167,268,0.458803,13
752,779,781,136,204,0.465481,84
778,733,782,198,221,0.472128,44
171,780,783,171,245,0.47966,14
54,777,784,54,84,0.479805,105
784,726,785,33,79,0.489461,120
782,601,786,154,254,0.489818,47
781,786,787,156,229,0.493222,131
137,787,788,137,252,0.497003,132
241,671,789,241,284,0.497471,3
783,771,790,189,214,0.497848,26
790,767,791,171,264,0.505334,28
788,789,792,227,241,0.506803,135
791,792,793,139,232,0.521464,163
793,257,794,153,257,0.536695,164
684,794,795,250,257,0.559057,167
795,582,796,197,209,0.641377,170
