cluster_a,cluster_b,new_cluster,distance,size
624,630,639,0.207894,11
565,268,640,0.210262,4
577,602,641,0.211073,5
553,168,642,0.211237,4
153,263,643,0.211426,2
23,633,644,0.2122,5
276,286,645,0.213122,2
124,233,646,0.214394,2
164,519,647,0.215002,7
508,252,648,0.216363,3
163,576,649,0.218112,4
638,556,650,0.219495,13
292,619,651,0.220592,33
626,542,652,0.222913,23
22,499,653,0.22309,3
121,279,654,0.22486,2
187,640,655,0.225887,5
647,165,656,0.226,8
644,639,657,0.226177,16
629,635,658,0.226279,10
139,210,659,0.227976,2
621,657,660,0.229752,23
518,413,661,0.230601,4
583,651,662,0.231836,49
584,611,663,0.232551,11
661,573,664,0.233773,9
660,67,665,0.235204,24
208,656,666,0.238372,9
550,623,667,0.239201,5
150,598,668,0.239719,4
538,3,669,0.243298,3
562,204,670,0.244166,5
207,284,671,0.246982,2
179,185,672,0.24905,2
326,650,673,0.250266,14
616,17,674,0.251191,7
591,197,675,0.251223,3
190,666,676,0.253744,10
653,30,677,0.254018,4
574,645,678,0.254189,7
622,225,679,0.254568,3
631,117,680,0.255494,4
27,39,681,0.256704,2
154,502,682,0.258118,3
540,478,683,0.259048,6
581,250,684,0.259268,3
641,236,685,0.259725,6
683,289,686,0.260192,7
450,211,687,0.260923,3
56,665,688,0.261767,25
658,688,689,0.265633,35
652,663,690,0.267262,34
126,267,691,0.267739,2
679,259,692,0.268604,4
497,682,693,0.268613,5
51,669,694,0.269245,4
530,678,695,0.269418,9
100,101,696,0.270296,2
416,603,697,0.274117,6
680,504,698,0.276279,6
84,97,699,0.277635,2
689,458,700,0.278426,37
685,676,701,0.278987,16
634,698,702,0.28516,13
569,677,703,0.285895,6
643,177,704,0.287089,3
673,690,705,0.28768,48
625,667,706,0.288016,16
620,664,707,0.28914,13
32,700,708,0.290998,38
674,570,709,0.292617,10
655,692,710,0.295481,9
432,481,711,0.295677,4
566,234,712,0.295787,3
672,686,713,0.298391,9
500,693,714,0.299868,8
708,696,715,0.30511,40
20,707,716,0.306804,14
468,694,717,0.308,7
711,695,718,0.30865,13
21,681,719,0.309803,3
7,699,720,0.310015,3
220,277,721,0.310942,2
489,183,722,0.312604,3
216,691,723,0.31453,3
717,706,724,0.319791,23
718,668,725,0.321629,17
470,702,726,0.32184,15
719,86,727,0.322622,4
649,586,728,0.323619,8
662,632,729,0.326671,60
729,705,730,0.328,108
725,546,731,0.328325,19
228,670,732,0.331693,6
714,636,733,0.333024,10
724,715,734,0.337457,63
646,285,735,0.339171,3
431,730,736,0.346621,110
261,273,737,0.346883,2
408,716,738,0.348633,16
712,148,739,0.350892,4
701,735,740,0.351518,19
642,739,741,0.353375,8
738,709,742,0.353751,26
120,713,743,0.356389,10
728,743,744,0.356535,18
742,720,745,0.358022,29
654,740,746,0.358638,21
637,184,747,0.359555,5
744,521,748,0.361388,20
741,648,749,0.362829,11
745,105,750,0.364984,30
731,722,751,0.374989,22
136,618,752,0.379096,4
746,218,753,0.379592,22
748,749,754,0.38097,31
747,704,755,0.383043,8
703,750,756,0.383951,36
727,734,757,0.385389,67
751,737,758,0.389772,24
732,753,759,0.392326,28
141,755,760,0.394495,9
759,607,761,0.39599,32
710,721,762,0.397213,11
659,407,763,0.399516,4
60,757,764,0.399516,68
697,763,765,0.403585,10
761,687,766,0.405094,35
237,264,767,0.405941,2
760,766,768,0.406596,44
768,675,769,0.409224,47
758,160,770,0.41003,25
610,765,771,0.410601,12
770,769,772,0.411874,72
723,605,773,0.416918,5
465,773,774,0.42506,7
754,466,775,0.428712,33
224,772,776,0.437146,73
756,764,777,0.445759,104
227,775,778,0.451116,34
774,776,779,0.451164,80
592,762,780,0.458803,13
752,779,781,0.465481,84
778,733,782,0.472128,44
171,780,783,0.47966,14
54,777,784,0.479805,105
784,726,785,0.489461,120
782,601,786,0.489818,47
781,786,787,0.493222,131
137,787,788,0.497003,132
241,671,789,0.497471,3
783,771,790,0.497848,26
790,767,791,0.505334,28
788,789,792,0.506803,135
791,792,793,0.521464,163
793,257,794,0.536695,164
684,794,795,0.559057,167
795,582,796,0.641377,170
